Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6,Sweep 7,Sweep 8
1,-6.98,-1.1,-1.13,-1.13,-1.1,-10.48,-1.13,-3.48
2,-17.52,-2.27,-9.33,-2.27,-2.31,-11.76,-4.62,-5.83
3,-23.37,-3.45,-16.41,-3.48,-3.42,-12.83,-10.54,-11.71
4,0.0,-4.66,-23.4,-4.62,-4.6,-13.96,-16.45,-19.87
5,0.0,-5.83,0.0,-5.83,-5.81,-22.21,-19.87,0.0
6,0.0,-9.33,0.0,-7.04,-6.98,0.0,0.0,0.0
7,0.0,-11.64,0.0,-8.15,-8.15,0.0,0.0,0.0
Î±,0.134,0.175,0.474,4.166e-07,5.196e-07,2.480e-06,0.262,0.631
C,88.113,8.903,11.913,4.403e+06,3.515e+06,2.849e+06,16.547,6.170
Effective Modulus,12.970,1.722,6.585,1.999,1.991,7.701,4.860,4.712
Young's Modulus,40.278,7.899,28.052,6.423,6.397,23.541,20.015,22.438
Time (ms),39464,17792,40926,14742,14743,40932,40935,39449
