Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6,Sweep 7,Sweep 8,Sweep 9
1,-1.3,-1.24,-1.2,-1.5,-1.17,-1.27,-1.27,-1.27,-1.13
2,-1.24,-1.54,-1.5,-1.24,-1.27,-1.2,-1.27,-1.24,-1.33
3,-1.54,-3.08,-2.28,-3.78,-2.07,-1.57,-1.54,-1.54,-1.54
4,-1.77,-5.34,-3.78,-6.1,-5.06,-2.31,-3.85,-1.64,-4.29
5,-2.01,-7.32,-5.87,-7.28,-5.3,-2.78,-4.49,-2.58,-6.38
6,-3.05,-8.53,-8.52,-7.79,-6.61,-3.31,-7.05,-4.83,-8.06
7,-4.76,-8.8,-11.05,-8.06,-7.32,-6.04,-8.29,-6.3,-9.03
Î±,0.372,3.151e-06,0.565,2.298e-06,5.251e-06,0.507,0.374,0.723,0.238
C,3.997,1.456e+06,5.537,1.934e+06,6.995e+05,3.247,7.596,2.115,15.121
Effective Modulus,1.696,5.001,3.727,4.844,4.004,1.934,3.248,1.896,4.021
Young's Modulus,6.094,14.626,14.671,14.189,11.706,7.422,11.669,8.018,13.465
Time (ms),16285,40744,53638,35172,39485,22175,29155,19943,38417
